abacate :  apakati.             
buraco :  mwithe.  
buscar :  orowela.  
búfalo :  enari.
cabaça :  ekahi.        
cabelo :  ikharari.  
cabeça :  muru.  
cabo :  mukhori.  
cabrito :  epuri.  
cacarejar :  orottoha.  
cacete :  mpottolo.  
cachimbo :  mulaapi.  
cacho :  muru.  
cachorro :  mwamwalapwa.
cacimba :  etthapwe.
cada :  khula.  
cadáver :  murutthu.
cadeira :  ekhukulo, munyukhu.  
café :  ekafe.  
cair :  omora.  
caixa :  ekaaxa.
cajado :  malaya.  
cajú :  ekasu.  
cajueiro :  mukhasu.  
cal :  ekhinampo.
calcanhar :  nxitta.  
caldo :  muhusi.  
calor :  oviha.  
calças :  ekaalasa.
caminho :  ephiro.  
camisa :  ekamisa.  
campainha :  ekampainya.
cana-doce :  muhali.  
candeeiro :  examaniya.  
canela da perna :  mwiipali.
caniço :  mutathi.       
canoa :  nikula.  
cansado :  okhulumuwa.  
cantar :  wiipa.
canto :  esipo.  
canção :  esipo.  
capim :  malaxi.                   
capinar :  olima.               
capoeira :  ehili.  
cão :  mwalapwa.  
capulana :  ekuwo.
capaz :  owerya.  
cara :  ethoni.  
caracol :  ekhoropa.  
caranguejo :  ekhala.  
carapaça :  nikosi.  
careca :  ntari.
carga :  muritti.  
caril :  muhusi.  
carne :  enama.  
caro :  orika.  
caroço :  phwitamwala.  
carregar :  opakhirya.  
carvão :  makhala.  
casa :  empa.  
casa de banho :  exaworo.
casamento :  othelana.
casca :  nikula.  
casca de ovo :  nikatuphe.         
casco :  niphita.  
castanha de cajú :  koroxo.
castanho :  ekoro ya ekastanyu.
casar-se :  othela.  
castigo :  ehukhumu.  
castrar :  ohula.  
casulo :  nihuuwela.  
catana :  ekatana.  
catorze :  muloko ni xexe.
cauda :  mwiila.  
cavalo :  ekhavalo.  
cavar :  othipa.  
caçador :  mutothi, namaxaya.  
caçar :  ototha, oxaya.  
cágado :  khapa.               
cebola :  esapola.            
cedo :  vaasisu.         
cego :  ohoona.          
cegonha :  naphipi.
celeiro :  ntatha.            
cem :  emiya.  
cemitério :  mahiye, ekhapuri. 
cenoura :  esenora.  
centopeia :  mokolo.  
cêra :  oravo.  
cerimónia :  niira.  
certo :  ekeekhai.  
cerveja tradicional :  kapanka.
cesto :  kaaphiyaka.  
céu :  osulu.  
cérebro :  oraamattha.  
chá :  exaaya.  
chacal :  mwiici.
chama :  nlumi.            
chamar :  wiihana.
chamuscar :  oreva.  
chão :  vathi.  
chapa :  exaapa.  
chapéu :  exapheu.  
charco :  nratta.  
chefe :  muhooleli.  
chega :  waaphiyera, pahi.
chegar :  ophiya.  
cheia :  otothowa.  
cheio :  osareya.  
cheirar :  wunkha.  
cheirar mal :  wunkha pure. 
cheiro :  wunkhela.  
chifre :  nnyaka.
chocar :  otothola.  
chocar com :  okhumula, okuttumula.  
chorar :  wunla.  
chupar :  ophoota.  
chupa-sangue :  nookhwiri.  
chuva :  epula.  
chuvisco :  kuusi.  
cicatriz :  murala, nihalapa.  
cidade :  epooma.  
cinco :  thanu.  
cinquenta :  miloko mithanu.
cintura :  eyuunu.                
cinza :  ettuura.            
circuncidar :  wuula.             
civeta :  murowani.             
clã :  nihimo.  
clareira :  mlaka.  
clareza :  waarya.  
claro :  oweela.  
coagular :  wiipiwa.  
coar :  ominya.  
cobra :  enowa.  
cobre :  ekhopiri.  
cobrir :  otthunyela, okhuneela.
côco :  ekole.  
coelho :  namarokolo.  
cogumelo :  oviilu.  
coisa :  etthu.              
cola :  onyoma.             
colar :  mukufu.  
colher :  niikho.  
colher a colheita :  ekhope.
colmeia :  epapa.  
coluna vertebral :  muthana.
com :  ni.  
com licença :  hooti.
comer :  olya.  
começar :  opacerya.  
comichão :  oneena.  
comida :  yoolya.  
como? :  sai?.  
complete :  olikanihe.
comprar :  othuma.   
compromisso :  nvarihano.
concha :  niikho.  
concha do mar :  nikosi. 
concordar :  okhupali.
conduzir :  weettiha.  
confuso :  oohiwananeya.  
conhecer :  osuwela.  
conhecido :  musuweliwa.  
conhecimento :  masuwelo.  
conquistar :  oxintta.  
conseguir :  owerya.  
conservar :  okhapelela, osuka.
consolar :  okurunuxa murima.  
constipação :  kamasi.  
construir :  oteka.
contar história :  waalaka.
contar números :  waalaka. 
continuar :  otthikela.    
conto :  ethale.      
contradizer :  ovaanyiha.  
conversar :  ovaanela.  
convidar :  olattula.  
copo :  ekopho.  
copular :  opephera.       
coqueiro :  mukole.
cor :  nthepa.  
corajoso :  ominyala.  
coração :  murima.  
corcunda :  nakumwe.  
corda :  mukhoi.  
cordão umbilical :  etekhu.  
corneta :  nipetta.  
corpo :  erutthu.  
correcto :  yooreerela.  
corrente :  ovira wa maasi.  
correr :  otthimaka.  
correr água :  ovira wa maasi.  
corrupto :  namuttompe.
cortar :  othikila.
cortar cabelo :  omeettha ikharari. 
coruja :  esisi.  
corvo :  nakhuku.
coser :  ottottha. 
costas :  ettuli.  
costela :  niparari.  
costume :  elimalelo.  
cotovelo :  ekookhino. 
couve :  ekhoovi.
cova :  nlitti.   
covarde :  xiiviha.  
coxa :  etara.  
coxear :  otuthunya.  
coxo :  mututhunya. 
cozinha :  ekusinya.  
cozinhar :  waapeya.  
coçar :  osuna.  
crânio :  makhuva a muru.
crer :  wemererya.         
crescer :  wunnuwa.             
crescer plantas :  wunnuwa.     
criança :  mwana.               
criar :  ohuwa.            
crista :  eceecere.         
crista-de-galo :  eceecere ya muthupi.
crocodilo : ekonya.  
crosta : niwowo.
cruél : mutakhi, ootakhala.
cruzamento : vankumana iphiro.  
cuidar : osuka.  
cultivar : olima.  
cume : vasulu va mwaako.                        
cumprido : orekama.  
cumprimentar : okhomasa.                
cunhada : mwaatani.                     
cunhado : mulamu.                       
curandeiro : mukulukhana.  
curar : openuxa, ovona. 
culpado : oottheka.  
curioso : nawipunyeeriha.  
curral : nikhola.  
curto : okhuveya.  
curva : epeerima.  
cuspir : osena.
dança : ekoma.
dançar : wiina.
dar : ovaha.
dar palmada : ntooya.  
dar pancada : omana.  
dar parto : oyara.  
de : ya.  
de propósito : mwaayini.  
debulhar : okokhola.  
decidir : olakela.  
dedo : ekatha.  
dedo do pé : elipwi.  
defecar : onya.  
defender : waakiha.  
deficiente : orakala.  
deitar : oriha.  
deitar fora : orihela vate.
deitar-se : wumpaathi.  
deixar : ohiya.
deixar cair : omoriha.           
dele : yawawe.              
deles : yawaya.              
demónio : xetwani.               
demorar : opisa, olekela.        
dente : niino.               
dente de cobra : niino na enowa. 
dente molar : nnyakela.  
dentro de : muhina mwa.      
denunciar : ohimya.  
depenar : waasula.  
depois : nuumala.  
depois-de-amanhã : murotto.       
derreter : otothoxa.  
derrubar : wuuha.  
desamarrar : otaphula, otthukula.
desaparecer : olakaseya.  
desapertar : otthukula.
descansar : omumula.  
descarregar : opakhula.  
descascar : opera, otheka.
descendente : murithi.  
descer : okhuruwa.  
descobrir : wupulula, okhunula.  
desejar : otthuna.  
desembrulhar : otaphula.  
desenhar -olepa.  
desenterrar : wuhula.  
deserto : othako.  
desistir : wooceela, ohiyererya. 
deslizar : opuruleya.  
desmaiar : osirikha.  
despedaçar : othikilela.  
despedir-se : olaxerya.  
despertar : ovenya.  
despir-se : wiirula.  
desprezar : othanya.  
destruir : onyaanya.  
desviar : ohapuwa.  
desvio : osempa.  
deuses : amuluku.  
Deus : Muluku.  
dever : mukhanyerero.  
devolver : ottikiha.  
dez : muloko.
dezanove : muloko ni thanu na xexe.
19 : muloko ni thanu na xexe.
dezasseis : muloko ni thanu na mosa.
16 : muloko ni thanu na mosa.
dezassete : muloko ni thanu na piili.  
17 : muloko ni thanu na piili.  
dezoito (18) : muloko ni thanu na tthaaru.  
18 : muloko ni thanu na tthaaru.  
dia : nihiku.  
diarreia : wooporari.  
difamar : oveeha.  
diferente : ovirikana.  
difícil : orikarika.  
dificuldade : maxankiho.  
diminuir : ovukula.                
dinheiro : musurukhu, muhakhu.  
direita : moono woolopwana.  
discurso : nuulumo.  
discutir : waakulana.  
disparar : woopela.  
dispersar : omwareya.  
disputa : mawanelo.  
disputar : owanela.  
dívida : okopha.
dividir : okawa.  
divorciar-se : omwalana.  
dizer : ohimya.  
dobrar : okhuna.  
doce : osiva, onaya.  
doente : muretta.  
doença : eretta.  
doer : owereya.  
dois : piili.
2 : piili.
domesticar : ohuwa.  
dono : mwanene.  
dono da casa : mwane etthoko.
dor : masooso.  
dores do parto : niphwanya.
dormir : orupa.  
doze : muloko ni piili.
12 : muloko ni piili. 
e : ni.  
eclipse : ovariwa wa mweri.
duro : olipa, oturuwa. 
educar : olela.  
duzentos : imiya piili.
200 : imiya piili.
egoista : nanrima. 
elefante : etthepo.
elefantíase : nasipiha.   
eles : awo.  
ele : owo. 
ela : owo. 
eloquente : ohimmwa.  
em : mu, va, vo, wa.
em cima : vasulu.  
em frente : ohoolo.  
em frente de : ohoolo wa.
embondeiro : mulapa.  
embotado : othikiliwa.   
embrulhar : oputaphuterya.  
embrulho : nihuta.  
empoleirar-se : withomeya.  
empregado : namuteko.  
empregar : ophwanyiha muteko. 
emprego : muteko.  
emprestar : woliha, okopha.  
empurrar : okakha.  
encantamento : malavi.  
encher : osariha.  
encontrar : ophwanya.  
encontrar-se com : okumana ni.
encurtar : okhuveeha.   
endireitar : wookolola.  
endurecer : olipiha.  
enfeitiçar : olowa.  
enfiar : ohela.  
enganar : woototha.  
engasgar : ottimpwa.  
engolir : omirya.  
engraçado : otheyatheya.      
enguia : namaloyi.            
enrolar : okhuna.
ensinar : osomiha.
então : vano. 
enterrar : osikha.
entornar : oyeehi.
entrar : ovolowa, okela.
entre : eriyari.  
entregar : ovahererya.
envenenar : opahula, ohela.  
enviar alguém : oruma.  
enviar uma coisa : oveleliha.
enxada : ehipa.              
enxame : mupattetthe.  
epilepsia : ecili.  
errado : ovonya.  
errar : ovonya.  
ervas daninhas : munyepu.  
esbofetear : omana nlaathuma.
escada : esikatta.  
escama : mavalaka.  
escapar : osonyororowa.  
escaravelho : mpirikixa mavi. 
escarranchar-se : wiisaanula. 
escarro : nikotokotho, kamasi.
escasso : othowa.
escavar : otthipa.  
escolher : othanla.      
esconder : ottukuttherya.
escopro : exikopulu.  
escorpião : walisi.      
escorregadio : othererya.
escorregar : othereneya. 
escova : epuputtho.  
escravo : epottha.  
escrever : olepa.  
escudo : muupa.  
esculpir : opattha.  
escuridão : epiphi.  
escuro : oripa.  
escutar : wiiwelela.  
esfolar : opera.  
esfregar : ottikitthela. 
esmagar : onyatta.  
espada : xoowa.  
espádua : ekhootwa.  
espalhar : omwaramwarya.  
esperar com esperança : owehererya.  
esperar um tempo : olipelela.
espesso : wuukumala.  
espezinhar : ohaaxa.  
espião : namawehaweha.  
espiar : owehaweha.  
espinha : makhuva.  
espinheiro : mwiri wa mwiiwa.
espinho : mwiiwa.  
espírito : munepa.  
espirrar : ophumurya.  
esposa : mwaara.  
espremer : owama.  
espuma : nipheru.  
esquecer : oliyala.        
esqueleto : makhuvaru.     
esquerdo : moono wothiyana.
esquilo : ekhopa.          
esse : owo.
essa : owo.   
estaca : nipotto.  
estar : okhala.  
estar de pé : weemela.  
estação : okathi.  
esteira : ettheere.  
estender : waatala.
estéril : ohinnyara.
este : ola.  
esta : ola.
esticar : wookola.  
estômago : napwipwi.  
estrada : rampha.  
estragar : ohonona.
estrangeiro : namurwa.  
estrangular : onyaanya.  
estreito : ophunyeya.  
estrela : etheneri.  
estrela cadente : nivoroxa.  
estúpido : ohimutthu, namaphuca.
eu : miyo.  
eu mesmo : miiva.  
evadir : otthyawa.  
evaporar : oweleela.  
evitar : osyaka.  
exaltar : otthapela.  
excesso : yinceenexa.  
excisão : wiineliwa.  
exército : atoropa.  
exorcizar : olaphulela.  
explicar : olakiherya, ohimya. 
explodir : ophutuwa.
fábula : ehantisi, ethale.    
faca : mwaalo.  
fácil : okhweya.  
faísca : etthamuwo.  
falar : olavula.  
família : omusi.  
fantasma : nakuru.  
farinha : otthu.  
faz favor : xontte.  
fazer : wiira.  
fazer armadilha : oreya murakho.
fazer as malas : otthuka nihuta.
fazer barulho : onyakula.  
falcão : ekhololo.  
fazer cócegas : otikirinya.                                
febre : ettekuxa.  
falecer : okhwa.  
falésia : exerexere yootekeleliwa.
falhar : ovonya.                 
faltar : othowa.
fechar : owala.  
feijão : ekhutte.  
feio : onanara.  
feiticeiro : namirette.  
feitiçaria : okhwiri.  
feitiço : okhwiri.  
felicitar : omutthapela.  
fenda : muthari.  
ferida : nikhwatta.  
ferir : ovulala.  
ferir-se : wiivulaliha.  
fermentar : weela.  
ferramenta : ikaruma.  
ferreiro : namahana.  
ferro : eyuuma.  
ferroz : owali.  
ferver : okaphula.  
festa : niira nootthapa. 
festejar : otthapa.  
feto : murolo.  
fezes : mavi.            
ficar : ohala.           
ficar zangado : onanariwa.  
fígado : hapa.  
filha : mwana muthiyana. 
filho : mwana mulopwana. 
fingir : wiisipithiha.  
fio : mukhoi, nliinya.
flauta : ephivi.   
flor : ethutu.  
florescência : ikayaya.
floresta : etakhwa.  
flutuar : ophempa.  
fofocar : waapa.  
fogão : efukau.
fogo : mooro.  
fogueira : vaikho.  
foice : efoose.  
folha : nikukhu.  
folha de mandioca : ntikwa.
fome : etala.
fonte : ehime.  
fora : ota.  
formiga : eneneele.  
formiga alada : ichuuwi.  
fornalha : ompahiwa miyaapu.
forte : aikuru.  
força : ikuru.  
fraco : ohilipa.  
frente : ohoolo.  
frio : orirya.  
fritar : waasikela, waarika.
fronteira : mukano.  
fruta : muhokorokho.  
fugir : otthyawa.  
fumado : waaneeliwa.  
fumo : mwiixi.
fundo : wiixa.  
fundo : wookiserya.  
gabar-se : wiikompela. 
gafanhoto : esoope.  
gaguejar : okukuma.  
galinha : mwalyakhu.
funeral : osikha.     
furar : ottemula.  
futebol : mphirya.  
galinha do mato : ekhaka.
galo : muthupi.  
garganta : mmilo.  
garra : nikarikhwa.  
garrafa : ephotiri.  
gasto : ohonona.  
gatinhar : waapasa.  
gato : kwaatu.     
gato silvestre : munyapa.
gema : erima.      
gémeos : maphapo.  
gemer : wiipulela.  
generoso : oreera murima. 
genro : mutthepa.  
gergelim : muhakwa.  
germinar : omela.  
gigante : okorosowa.     
girafa : nleka.
governar : olamula.
grande : yuulupale.
granizo : maralala.
grão : enuku.
grávida : ehamela.
grilo : yipo.
gritar : okhuwela.
grunhir : mirika.  
gruta : nikhuku. 
guardar : osuka.  
guelra : malakha.  
guerra : ekhotto.  
guia : mahoola.
habitante : mukhali.  
habitar : okhala.  
harpa : tthakare.  
haste : mwiri wa epantera.
haver : ohaana.           
herança : yoorithi.             
herdar : orithi.               
hérnia : musipha, ikhunyunyu.  
hesitar : woovelela.            
hiena : kusupa.           
hipopótamo : tthomotto.  
hoje : olelo.
homem : mulopwana.  
homem branco : mukunya.  
honesto : ooloka, ekeekhai.
honrar : olemeliha.  
horta : eyiisi.  
hóspede : muletto.
idiota : ohiloka.               
idoso : nakhulu, owuuluvala.   
ignorante : ohisuwela.             
igual : olikana.               
ilha : ekisura.               
imitar : otakiha.                
impaciente : ohinleva.             
impedimento : makhoottiheryo.      
impedir : ottiyelela, okhottiherya.
implorar : ovekela.                
importante : yuulupalexa.          
imposto : musokho.                 
impotente : okhwa murayi.          
inchar : oruruvala.               
inchaço : wiipa.
incisão : xanttiha.  
inclinar-se : wisuraamiha.  
incubar : wuuramela.  
indiano : muhinti.  
inhame : mooma.  
iniciar : opacerya.  
iniciação : wiineliwa.  
inimigo : nwanani.  
inocente : oohittheka.  
inquieto : owaraala.  
insecto : axikokho.  
instrumento : ekaruma enruma.
insultar : oruwana.  
insulto : muruwano.  
inteligente : mutthu ankhili.
interceder : ovekela.  
intestinos : marupo.  
invejoso : nanrima.  
ir : orowa.  
irmã : murokora.  
irmão : muhiima.  
isca : essamu. 
já : naanano.             
janela : ecanela.              
jantar : yoolya yoohiyu.       
jarro : murinki.            
javali : phako.              
joelho : nikutha.               
jogar : ottikha.  
jogo : othweela, orukuneya.
jovem : mwaavana.  
juba : nseese na kharamu.
julgar : olamula.  
juntar : otakaniha, wuukela. 
juntar rebanho : otthukumaniha.
junto : hoothe.  
juramento : malaphelo.  
jurar : olapha.  
justiça : naxariya.  
justo : naxariya.
lá : wu.  
lábio : iyano.  
lado : npantta.  
ladrão : nawiye.  
ladrar : wuwula.  
lagarta : nammilepeni.  
lagarta agama : nawookho.
lagarta monitor : nipalama.
lagartixa : nakwitti.  
lagarto : nawookho.  
lago : nratta.  
lagoa : ntthiya, nratta.
lágrimas : maithori.  
lamber : olata.  
lamentar : osikula.  
lâmina : nimettho.  
lanho : nxala.  
lanterna : ekhanttiyero.  
laranja : eraranca.  
laranjeira : murarance.  
lareira : vaikho.  
largo : yowaanuwa.  
larva : miyuku.  
lasca : nipalapasa.
latrina : esintina.  
lavar : okattha, orapiha.  
lavrar : opatthula.  
leão : kharamu.  
lei : nlamulo.  
leite : eleti.  
lembrar : otthokelela.  
lenha : ikhuni.  
lento : vakhaani vakhaani.
lenço : nleso.  
leopardo : havara.  
lepra : makokho.  
ler : osoma.  
leste : onkhuma nsuwa.  
levantar : weemexa.  
levantar-se : ovenya.         
levar : okuxa. 
leve : oveya.            
libelinha : mwenteri.   
liderar : ohoolela.  
limão : nlimu.  
limite de uma machamba : mukano.  
limo : namalele.  
limoeiro : mulimo.  
limpar : okwesa, olima.  
limpo : oreera.  
língua falada : nttaava.  
língua na boca : nlumi.  
linguagem : moolumelo, elavulelo.
linha de pesca : nlinya, noomiserela.
liso : waapatheya.
lixeira : nsala.  
lixo : ikokhola. 
lobolo : mahari.      
loja : elooca.   
lombriga : miyowa.     
longe : ottaiwene.
louvar : ottottopela. 
macaco : khole.
louva-a-deus : mpwexa khali.       
louvor : muttottopelo.  
lua : mweeri.  
luar : waarya wa mweeri. 
lua-cheia : mweeri.  
lua-nova : wooneya mweeri.  
lugar : nipuro.  
lula : khiisi.  
lume : mooro.  
lutar : owana.  
luto : mulala.  
luz : muthuko, ekamaama.
machado : maxatto.  
machamba : ematta.  
machimbombo : karera.  
madeira : ethaapwa.        
madrugada : oxaaka.  
mãe : maai.  
magro : nawootte.  
magro : wootta.  
mal : yoohireera.  
malandro : mulavilavi.  
malária : ettekuxa.                           
maldição : otakhaliwa.  
malhar : oveera, weepettha.
maluco : namukhwa onepa.
mamar : waamwa.  
mamba verde : nivowu.
mandar : oruma.  
mandioca : mattyokwa.
manga : emanka.  
mangueira : mmanka.  
manguço : muthulu.  
manhã : vasiisu.  
mão : ntata.  
mapira : meele.  
mar : epahari.  
marfim : niino na etthepo.
margem : muxerexere.  
marido : aya.  
martelo : enyutto.  
máscara : maasikara.  
mastigar : otaphwela.
matar : wiiva.
mata-bicho : etthuka murima.
pequeno-almoço : etthuka murima.
matequenha : ttekenya.  
mato : etakhwa.  
matope : nttophe.  
mau : owoopiha.       
maçaroca : nakhuwo.          
medir : ophima.           
medo : woova.          
meio-dia : othana eriyari.  
mel : oravo.  
melancia : mawuryo.  
melhorar : oreriha.  
mendigar : oveka esimola.  
mendigo : nasimola.  
mensageiro : namuhupi.  
menstruação : okwattuwa.  
mentira : wootha.
mercado : epasari.  
mergulhar na água : oruweya, opwina.  
mergulhar : opwina, oneela.  
descender : opwina, oneela. 
mês : mweeri.  
mesa : meesa.  
metade : nuusu.  
meu : yawaka.  
mexer comida : wootowela.  
mexer corpo : otannya.  
mexoeira : nantti.
mil : ekonto.   
1000 : ekonto.
milho : nakhuwo.  
minhoca : enyakwata.      
míope : oruttwasa maitho.
missanga : mukhova.  
misturar : otakanxa.  
môcho : esiisi.  
moela : etaaputha.  
moer : oxila.
moldar : wuupa oloko.    
molhado : onaana.  
molhar : onaaniha.  
montanha : mwaako.  
morcego : nantuthu, wilema. 
morder : oluma.  
mormoché : eruwa.  
mosca : ephepele.  
mosquito : pwilimwithi.  
mostrar : woniherya, othonyiherya. 
mover : wiiniina.
moça : mwali.  
muchém : oweexe.  
mudo : ohuuluma.  
muitas vezes : imara sinceene.
muito : vanceene.  
muitos : sinceene.  
mulher : muthiyana.  
multa : muulutha.  
meio : eriyari.  
nada : vahiitthu.  
nadar : okata.  
nádegas : nikhuttu.  
não : nnaari.           
nariz : ephula.           
nascente : onkhuma nsuwa.
multidão   namutthu.   
mundo : olumwenku.  
mundo dos mortos : wookhwani. 
murchar : onyaala.  
murmurar : waapa.  
músculo : mutika.  
música : nsipo.  
nascer do sol : okhuma nsuwa.
nascido : oyara.  
negar : okhootta.  
negociante : nanakoso.  
negociar : ovarihana.
neto : musuulu.               
ninguém : khaavo, khiniivo.     
ninho : epuru.                 
nó : nlutte.                
nó de madeira : niphitto.  
nó do dedo : niphitto.  
noite : ohiyu.  
noiva : eharusi, okameliwa.  
noivo : othela, eharusi.       
nómada : oothamathama.             
nome : nsina.                 
nora : mwaara mwanaka.        
normalmente : okathi nuukathi.     
norte : omokoni.               
nós : hiyo.
o que? : exeeni?                  
obedecer : ottharihela.  
obstruir : ottiyelela.  
obter : okhalana.  
oco : ephawu.  
odiar : onyokha.  
oeste : onkela nsuwa.  
oferecer : ovaha.  
oferta : ovaha makeya, yoveleela.
nosso : yawihu.  
notícias : ihapari, ihali.  
9 : thanu ni xexe.  
